brand,total_visits,record_count,unique_stores,mean_daily_visits,earliest_date,latest_date,data_type
Smoothie King,308754438,227394,154,1357.8,2020-01-01,2024-12-31,derived
Buffalo Wild Wings,303701419,163235,110,1860.52,2020-01-01,2024-12-31,derived
O'Reilly Auto Parts,280045060,890965,516,314.32,2020-01-01,2024-12-31,derived
Dick's Sporting Goods,276707374,113371,77,2440.72,2020-01-01,2024-12-31,derived
CVS Pharmacy,273350583,1843032,1028,148.32,2020-01-01,2024-12-31,derived
Macy's,272483415,103434,70,2634.37,2020-01-01,2024-12-31,derived
Pilot Flying J,271550652,112485,70,2414.11,2020-01-01,2024-12-31,derived
Vons,269604108,72257,40,3731.18,2020-01-01,2024-12-31,derived
Cumberland Farms,268323571,134649,74,1992.76,2020-01-01,2024-12-31,derived
Hunt Brothers Pizza,268027809,1021231,743,262.46,2020-01-01,2024-12-31,derived
Stater Bros. Markets,262590277,73655,41,3565.14,2020-01-01,2024-12-31,derived
Five Below,259272017,252108,179,1028.42,2020-01-01,2024-12-31,derived
Victoria's Secret,257957081,125358,101,2057.76,2020-01-01,2024-12-31,derived
Zaxby's,257511609,126240,72,2039.86,2020-01-01,2024-12-31,derived
Checkers Drive-In Restaurants,257286913,142105,89,1810.54,2020-01-01,2024-12-31,derived
Do It Best,257201211,350083,205,734.69,2020-01-01,2024-12-31,derived
Albertsons,254544434,69144,40,3681.37,2020-01-01,2024-12-31,derived
Rita's Italian Ice,252912970,148907,94,1698.46,2020-01-01,2024-12-31,derived
Courtyard by Marriott,252266218,206427,123,1222.06,2020-01-01,2024-12-31,derived
Bath & Body Works,249532219,268335,174,929.93,2020-01-01,2024-12-31,derived
Tropical Smoothie Café,246007584,166450,129,1477.97,2020-01-01,2024-12-31,derived
Olive Garden,244098339,173292,98,1408.6,2020-01-01,2024-12-31,derived
United States Postal Service (USPS),242889785,4132410,2270,58.78,2020-01-01,2024-12-31,derived
Chevron Extra Mile,238164581,307832,193,773.68,2020-01-01,2024-12-31,derived
Charley's,233393885,144636,113,1613.66,2020-01-01,2024-12-31,derived
True Value Company,230296141,316071,173,728.62,2020-01-01,2024-12-31,derived
Love's Travel Stops and Country Stores,229049925,85389,52,2682.43,2020-01-01,2024-12-31,derived
Kroger Fuel Center,229032101,116170,66,1971.53,2020-01-01,2024-12-31,derived
Best Buy,228538983,180293,102,1267.6,2020-01-01,2024-12-31,derived
Tops Friendly Markets,228036504,59774,35,3814.98,2020-01-01,2024-12-31,derived
In-N-Out Burger,227554309,127106,74,1790.27,2020-01-01,2024-12-31,derived
Old Navy,226680361,198937,117,1139.46,2020-01-01,2024-12-31,derived
Petco,224885992,264097,157,851.53,2020-01-01,2024-12-31,derived
Marco's Pizza,224439159,155716,106,1441.34,2020-01-01,2024-12-31,derived
Hampton,224061828,369307,214,606.71,2020-01-01,2024-12-31,derived
Food 4 Less,223757280,54774,52,4085.1,2020-01-01,2024-12-31,derived
El Pollo Loco,220121566,155601,87,1414.65,2020-01-01,2024-12-31,derived
Hardee's,219533587,119308,71,1840.06,2020-01-01,2024-12-31,derived
Ralphs,213646770,60351,35,3540.07,2020-01-01,2024-12-31,derived
Health Mart,210988368,809361,443,260.69,2020-01-01,2024-12-31,derived
Raising Cane's,208964833,88783,69,2353.66,2020-01-01,2024-12-31,derived
Tractor Supply Co.,207389362,285660,181,726.0,2020-01-01,2024-12-31,derived
Burlington,207127888,191429,129,1082.01,2020-01-01,2024-12-31,derived
GIANT Food Stores,198521366,52313,29,3794.88,2020-01-01,2024-12-31,derived
Moe's Southwest Grill,197171531,134745,86,1463.29,2020-01-01,2024-12-31,derived
Del Taco,194528819,148443,87,1310.46,2020-01-01,2024-12-31,derived
Cold Stone Creamery,192926557,170017,112,1134.75,2020-01-01,2024-12-31,derived
Sheetz,191598005,88037,55,2176.34,2020-01-01,2024-12-31,derived
CITGO,190561755,445922,353,427.34,2020-01-01,2024-12-31,derived
Wawa,189720042,291670,190,650.46,2020-01-01,2024-12-31,derived
Ollie's Bargain Outlet,188929592,79524,55,2375.76,2020-01-01,2024-12-31,derived
BJ's Wholesale Club,188440515,56033,35,3363.03,2020-01-01,2024-12-31,derived
Impark,187450027,52463,32,3572.99,2020-01-01,2024-12-31,derived
Acme Markets,176689527,47895,28,3689.1,2020-01-01,2024-12-31,derived
Kwik Fill,175646896,95372,54,1841.7,2020-01-01,2024-12-31,derived
Weis Markets,171935964,43058,24,3993.12,2020-01-01,2024-12-31,derived
Advance Auto Parts,169785610,666065,383,254.91,2020-01-01,2024-12-31,derived
LongHorn Steakhouse,169054277,104567,62,1616.71,2020-01-01,2024-12-31,derived
Walgreens Pharmacy,168994864,1366867,785,123.64,2020-01-01,2024-12-31,derived
PetSmart,168992777,256666,146,658.42,2020-01-01,2024-12-31,derived
HomeGoods,168830775,182706,109,924.06,2020-01-01,2024-12-31,derived
Texas Roadhouse,168190593,86847,52,1936.63,2020-01-01,2024-12-31,derived
JCPenney,167886274,117414,65,1429.87,2020-01-01,2024-12-31,derived
Key Food,167527137,56460,34,2967.18,2020-01-01,2024-12-31,derived
Dillard's,167378945,66746,37,2507.7,2020-01-01,2024-12-31,derived
Fairfield Inn & Suites by Marriott,166145227,157615,94,1054.12,2020-01-01,2024-12-31,derived
Barnes and Noble College,162368664,129968,81,1249.3,2020-01-01,2024-12-31,derived
Chase,162182579,1146738,703,141.43,2020-01-01,2024-12-31,derived
Jamba,160205916,168086,104,953.12,2020-01-01,2024-12-31,derived
Outback Steakhouse,159276953,96667,58,1647.69,2020-01-01,2024-12-31,derived
Sears Home Services,158987209,369447,211,430.34,2020-01-01,2024-12-31,derived
Bealls Outlet,158934394,79693,61,1994.33,2020-01-01,2024-12-31,derived
Progressive,158804422,4346389,2480,36.54,2020-01-01,2024-12-31,derived
Smart & Final,158420362,83130,48,1905.69,2020-01-01,2024-12-31,derived
Cracker Barrel,158225516,87878,49,1800.51,2020-01-01,2024-12-31,derived
Wow Bao,157922767,84786,52,1862.6,2020-01-01,2024-12-31,derived
First Watch Restaurants,156936986,91694,63,1711.53,2020-01-01,2024-12-31,derived
GameStop,156395919,533492,329,293.16,2020-01-01,2024-12-31,derived
Redner's Markets,149572247,32886,18,4548.2,2020-01-01,2024-12-31,derived
Famous Footwear,148828322,164209,95,906.33,2020-01-01,2024-12-31,derived
Freddy's Frozen Custard,148225450,87369,58,1696.55,2020-01-01,2024-12-31,derived
AMC Entertainment,148142225,95334,58,1553.93,2020-01-01,2024-12-31,derived
WinCo Foods,146652745,38367,21,3822.37,2020-01-01,2024-12-31,derived
Qdoba Mexican Grill,146293781,78561,51,1862.17,2020-01-01,2024-12-31,derived
La Quinta Inns & Suites,142628922,184032,113,775.02,2020-01-01,2024-12-31,derived
MOD Pizza,140066870,97858,57,1431.33,2020-01-01,2024-12-31,derived
Bank of America,138272581,959621,583,144.09,2020-01-01,2024-12-31,derived
McAlister's Deli,137678860,69767,43,1973.41,2020-01-01,2024-12-31,derived
Great Clips,137088318,662438,405,206.95,2020-01-01,2024-12-31,derived
Dutch Bros Coffee,136992266,88643,97,1545.44,2020-01-01,2024-12-31,derived
Red Robin Gourmet Burgers,136263272,81392,45,1674.16,2020-01-01,2024-12-31,derived
Orangetheory Fitness,136201378,228768,139,595.37,2020-01-01,2024-12-31,derived
Wells Fargo,135931518,984659,631,138.05,2020-01-01,2024-12-31,derived
T-Mobile,135072190,1331285,1085,101.46,2020-01-01,2024-12-31,derived
The Habit Burger Grill,134451061,105693,63,1272.09,2020-01-01,2024-12-31,derived
LBM Advantage,133829909,193693,107,690.94,2020-01-01,2024-12-31,derived
Gulf Oil,133486892,163242,90,817.72,2020-01-01,2024-12-31,derived
Consumer Cellular,131192877,681471,373,192.51,2020-01-01,2024-12-31,derived
Red Lobster,129560891,103085,59,1256.84,2020-01-01,2024-12-31,derived
Grocery Outlet,129424120,116222,79,1113.59,2020-01-01,2024-12-31,derived
CrossFit,128916983,816855,546,157.82,2020-01-01,2024-12-31,derived
Golden Corral,127025562,69359,44,1831.42,2020-01-01,2024-12-31,derived
Culver's,126378823,54608,40,2314.29,2020-01-01,2024-12-31,derived
CEFCO,125817271,62414,47,2015.85,2020-01-01,2024-12-31,derived
Church's Chicken,125769747,198978,119,632.08,2020-01-01,2024-12-31,derived
ConocoPhillips,122727326,327405,243,374.85,2020-01-01,2024-12-31,derived
Rainbow Shops,122295870,189300,112,646.04,2020-01-01,2024-12-31,derived
Nike,120173775,62978,41,1908.19,2020-01-01,2024-12-31,derived
Best Western,120068480,352266,226,340.85,2020-01-01,2024-12-31,derived
Brookshire's Grocery Company,119611998,32886,18,3637.17,2020-01-01,2024-12-31,derived
Big Lots Stores,118687111,205154,126,578.53,2020-01-01,2024-12-31,derived
Einstein Brothers,118233043,115795,77,1021.05,2020-01-01,2024-12-31,derived
LUKOIL,117931636,66440,38,1775.01,2020-01-01,2024-12-31,derived
Costco Gasoline,116780289,66993,42,1743.17,2020-01-01,2024-12-31,derived
SpringHill Suites by Marriott,115386115,94311,56,1223.46,2020-01-01,2024-12-31,derived
H&M,115009377,97045,59,1185.11,2020-01-01,2024-12-31,derived
Barnes and Noble,114450430,113665,75,1006.91,2020-01-01,2024-12-31,derived
Holiday Inn,113642725,92073,59,1234.27,2020-01-01,2024-12-31,derived
Auntie Anne's,113356638,239135,141,474.03,2020-01-01,2024-12-31,derived
Jason's Deli,112781721,61448,35,1835.4,2020-01-01,2024-12-31,derived
Krispy Krunchy Chicken,111545063,439352,334,253.89,2020-01-01,2024-12-31,derived
Steak 'n Shake,111165959,60095,44,1849.84,2020-01-01,2024-12-31,derived
ULTA Beauty,110585994,300550,221,367.95,2020-01-01,2024-12-31,derived
Champs Sports,109979463,112292,64,979.41,2020-01-01,2024-12-31,derived
Hilton Garden Inn,109764036,110899,62,989.77,2020-01-01,2024-12-31,derived
Wegmans Food Markets,109401880,28865,17,3790.12,2020-01-01,2024-12-31,derived
Price Chopper Supermarket,108391555,28566,18,3794.43,2020-01-01,2024-12-31,derived
Staples,107695512,208659,122,516.13,2020-01-01,2024-12-31,derived
Casey's General Stores,107193370,203937,130,525.62,2020-01-01,2024-12-31,derived
Big 5 Sporting Goods,106866742,103437,58,1033.16,2020-01-01,2024-12-31,derived
BJ's Restaurants,106843505,57761,33,1849.75,2020-01-01,2024-12-31,derived
Michaels Stores,106667030,215704,121,494.51,2020-01-01,2024-12-31,derived
Blaze Pizza,106116966,82880,51,1280.37,2020-01-01,2024-12-31,derived
Shake Shack,105382863,52138,39,2021.23,2020-01-01,2024-12-31,derived
American Eagle Outfitters,104164580,178534,114,583.44,2020-01-01,2024-12-31,derived
Forever 21,103341314,92808,56,1113.5,2020-01-01,2024-12-31,derived
Vans,103097373,122592,75,840.98,2020-01-01,2024-12-31,derived
Hungry Howie's Pizza & Subs,102509786,68295,42,1500.99,2020-01-01,2024-12-31,derived
Timewise Food Store,101229567,60199,33,1681.58,2020-01-01,2024-12-31,derived
Good Neighbor Pharmacy,100640182,407726,233,246.83,2020-01-01,2024-12-31,derived
IGA,100514931,90982,52,1104.78,2020-01-01,2024-12-31,derived
Costco Pharmacy,100193676,99575,59,1006.21,2020-01-01,2024-12-31,derived
Phillips 66,100190569,286267,223,349.99,2020-01-01,2024-12-31,derived
Zumiez,99230577,111420,64,890.6,2020-01-01,2024-12-31,derived
Save-A-Lot,98869547,85576,70,1155.34,2020-01-01,2024-12-31,derived
Schlotzsky's,98826586,68083,42,1451.56,2020-01-01,2024-12-31,derived
Hannaford Supermarkets,97854431,25578,14,3825.73,2020-01-01,2024-12-31,derived
Circle K Gas,97829143,688779,377,142.03,2020-01-01,2024-12-31,derived
Scooter’s Coffee and Yogurt,97817666,71970,62,1359.15,2020-01-01,2024-12-31,derived
Nordstrom,97178567,29232,16,3324.39,2020-01-01,2024-12-31,derived
Sephora,96267053,263455,243,365.4,2020-01-01,2024-12-31,derived
Residence Inn by Marriott,96229915,149033,90,645.7,2020-01-01,2024-12-31,derived
Public Storage,95884682,608825,383,157.49,2020-01-01,2024-12-31,derived
Baskin Robbins,95800577,493577,373,194.09,2020-01-01,2024-12-31,derived
Finish Line,95239885,109456,71,870.12,2020-01-01,2024-12-31,derived
Rite Aid Pharmacy,94485578,515956,324,183.13,2020-01-01,2024-12-31,derived
H Mart,94081751,23175,17,4059.62,2020-01-01,2024-12-31,derived
Academy Sports + Outdoors,93599454,49761,31,1880.98,2020-01-01,2024-12-31,derived
Krispy Kreme Doughnuts,93585880,62635,39,1494.15,2020-01-01,2024-12-31,derived
Foot Locker,92271113,169950,109,542.93,2020-01-01,2024-12-31,derived
QuickChek,91953727,68273,40,1346.85,2020-01-01,2024-12-31,derived
Supercuts,91555197,488466,315,187.43,2020-01-01,2024-12-31,derived
76,91499354,505729,349,180.93,2020-01-01,2024-12-31,derived
Cinnabon,90542275,103936,68,871.13,2020-01-01,2024-12-31,derived
Valvoline,89530503,273123,168,327.8,2020-01-01,2024-12-31,derived
Tom Thumb Food & Pharmacy,89316712,21924,12,4073.92,2020-01-01,2024-12-31,derived
P.F. Chang's China Bistro,88905523,41222,29,2156.75,2020-01-01,2024-12-31,derived
Marriott Hotels,88381750,64035,36,1380.21,2020-01-01,2024-12-31,derived
The UPS Store,87554117,1040058,615,84.18,2020-01-01,2024-12-31,derived
Shoe Dept Encore,87381894,105815,65,825.8,2020-01-01,2024-12-31,derived
Pollo Tropical,87152116,52125,30,1671.98,2020-01-01,2024-12-31,derived
Quality Inn,86739896,206079,139,420.91,2020-01-01,2024-12-31,derived
Taco Cabana,85846826,52371,29,1639.21,2020-01-01,2024-12-31,derived
Foodtown,84491821,27619,16,3059.19,2020-01-01,2024-12-31,derived
Motel 6,84474619,247312,154,341.57,2020-01-01,2024-12-31,derived
Wienerschnitzel,83851146,92502,53,906.48,2020-01-01,2024-12-31,derived
Potbelly Sandwich Works,83568064,41565,30,2010.54,2020-01-01,2024-12-31,derived
Save Mart Supermarkets,83085779,25120,14,3307.55,2020-01-01,2024-12-31,derived
Boston Market,83063336,57639,47,1441.1,2020-01-01,2024-12-31,derived
AT&T,82961517,1045411,709,79.36,2020-01-01,2024-12-31,derived
Cicis,82923261,75256,50,1101.88,2020-01-01,2024-12-31,derived
Raley's,81038611,20494,12,3954.26,2020-01-01,2024-12-31,derived
Braum's Ice Cream and Dairy Stores,80970570,54354,30,1489.69,2020-01-01,2024-12-31,derived
Bojangles',80546375,41932,33,1920.88,2020-01-01,2024-12-31,derived
The Fresh Market,80440831,18789,12,4281.27,2020-01-01,2024-12-31,derived
Journeys,79754433,182112,109,437.94,2020-01-01,2024-12-31,derived
Giant Eagle,79651906,23020,13,3460.12,2020-01-01,2024-12-31,derived
Big Y Foods,79302998,21256,13,3730.85,2020-01-01,2024-12-31,derived
Gap,78826161,101232,68,778.67,2020-01-01,2024-12-31,derived
The Salvation Army,78318244,239055,134,327.62,2020-01-01,2024-12-31,derived
Safeway Fuel Station,77946429,43848,24,1777.65,2020-01-01,2024-12-31,derived
Pet Supplies Plus,77652908,120672,69,643.5,2020-01-01,2024-12-31,derived
Long John Silver's,77528657,74108,52,1046.16,2020-01-01,2024-12-31,derived
Hallmark Cards,77068739,160828,103,479.2,2020-01-01,2024-12-31,derived
Hollister,76428362,104506,61,731.33,2020-01-01,2024-12-31,derived
Comfort Suites,76325846,96920,59,787.51,2020-01-01,2024-12-31,derived
DoubleTree by Hilton,75303441,57767,38,1303.57,2020-01-01,2024-12-31,derived
Victra,75191632,252028,147,298.35,2020-01-01,2024-12-31,derived
NAPA Auto Parts,74606881,657276,392,113.51,2020-01-01,2024-12-31,derived
Nordstrom Rack,74303871,47756,32,1555.91,2020-01-01,2024-12-31,derived
The Cheesecake Factory,73405646,50916,30,1441.7,2020-01-01,2024-12-31,derived
Chicken Express,72966313,62118,34,1174.64,2020-01-01,2024-12-31,derived
White Castle,72620971,37058,21,1959.66,2020-01-01,2024-12-31,derived
Chuck E. Cheese's,72321665,85927,49,841.66,2020-01-01,2024-12-31,derived
Mobil,72264196,1123473,700,64.32,2020-01-01,2024-12-31,derived
ALDO,72198359,78653,58,917.94,2020-01-01,2024-12-31,derived
Jiffy Lube,71878563,328076,201,219.09,2020-01-01,2024-12-31,derived
Rutter's Farm Stores,71475675,32616,20,2191.43,2020-01-01,2024-12-31,derived
Fastenal,71340307,198699,135,359.04,2020-01-01,2024-12-31,derived
Captain D's Seafood Restaurant,71322917,56880,34,1253.92,2020-01-01,2024-12-31,derived
QFC (Quality Food Centers),70967078,18270,10,3884.35,2020-01-01,2024-12-31,derived
Apple Retail Store,69744600,49329,27,1413.87,2020-01-01,2024-12-31,derived
State Farm,69480922,3021062,1705,23.0,2020-01-01,2024-12-31,derived
Enmarket,69215925,34744,20,1992.17,2020-01-01,2024-12-31,derived
Hilton International,69117287,49817,29,1387.42,2020-01-01,2024-12-31,derived
Extra Space Storage,69105880,506296,468,136.49,2020-01-01,2024-12-31,derived
RaceWay,68467034,33381,24,2051.08,2020-01-01,2024-12-31,derived
Stewart's Shops,68063415,125304,74,543.19,2020-01-01,2024-12-31,derived
Fridays,67849178,45541,32,1489.85,2020-01-01,2024-12-31,derived
Express,67661796,78214,45,865.09,2020-01-01,2024-12-31,derived
La Michoacana Meat Market,66744753,70554,40,946.01,2020-01-01,2024-12-31,derived
Cricket Wireless,65852793,935441,688,70.4,2020-01-01,2024-12-31,derived
Sbarro,65601454,48784,40,1344.73,2020-01-01,2024-12-31,derived
Rocket,65568690,137025,75,478.52,2020-01-01,2024-12-31,derived
dd's DISCOUNTS,65062124,92178,57,705.83,2020-01-01,2024-12-31,derived
Golden Chick,64254291,75795,49,847.74,2020-01-01,2024-12-31,derived
Party City,63456202,154485,91,410.76,2020-01-01,2024-12-31,derived
Aéropostale,62791415,92865,53,676.16,2020-01-01,2024-12-31,derived
Citi Trends,62601937,80175,49,780.82,2020-01-01,2024-12-31,derived
Pet Supermarket,62394076,87606,50,712.21,2020-01-01,2024-12-31,derived
Boscov's,62076011,21924,12,2831.42,2020-01-01,2024-12-31,derived
Hobby Lobby Stores,61937707,137189,83,451.48,2020-01-01,2024-12-31,derived
Market Basket,61351412,16443,9,3731.16,2020-01-01,2024-12-31,derived
DAISO,61293639,28320,16,2164.32,2020-01-01,2024-12-31,derived
Mellow Mushroom,61267926,36754,21,1666.97,2020-01-01,2024-12-31,derived
Cheddar's Scratch Kitchen,61047385,35540,23,1717.71,2020-01-01,2024-12-31,derived
TownePlace Suites by Marriott,60650619,75035,46,808.3,2020-01-01,2024-12-31,derived
Embassy Suites Hotels,60113054,49209,28,1221.59,2020-01-01,2024-12-31,derived
Lucky Supermarkets,60103862,28164,16,2134.07,2020-01-01,2024-12-31,derived
Lidl,59857984,17574,12,3406.05,2020-01-01,2024-12-31,derived
99 Cents Only Stores,59450634,98263,67,605.02,2020-01-01,2024-03-31,derived
Tijuana Flats,59443252,45550,27,1305.01,2020-01-01,2024-12-31,derived
Pep Boys,58498342,183759,117,318.34,2020-01-01,2024-12-31,derived
99 Ranch Market,58388935,16443,9,3550.99,2020-01-01,2024-12-31,derived
Days Inn,58320403,221671,152,263.09,2020-01-01,2024-12-31,derived
Bed Bath & Beyond,57235206,99465,94,575.43,2020-01-01,2023-06-30,derived
Rack Room Shoes,57222560,67577,42,846.78,2020-01-01,2024-12-31,derived
Krystal,56714734,48231,30,1175.9,2020-01-01,2024-12-31,derived
Macy's Backstage,56689334,70294,45,806.46,2020-01-01,2024-12-31,derived
Ocean State Job Lot,56413527,24821,17,2272.81,2020-01-01,2024-12-31,derived
Applegreen,55963279,34713,19,1612.17,2020-01-01,2024-12-31,derived
Shaw's,55653150,14616,8,3807.69,2020-01-01,2024-12-31,derived
It's Just Wings,55611619,264915,145,209.92,2020-01-01,2024-12-31,derived
The Burger Den,55609744,246222,141,225.85,2020-01-01,2024-12-31,derived
FYE,55158359,34713,19,1588.98,2020-01-01,2024-12-31,derived
Hooters,55057138,44545,29,1235.99,2020-01-01,2024-12-31,derived
LIDS,54865617,180022,99,304.77,2020-01-01,2024-12-31,derived
Office Depot,54849620,152052,97,360.73,2020-01-01,2024-12-31,derived
Brookshire Brothers,54815071,44029,25,1244.98,2020-01-01,2024-12-31,derived
Anytime Fitness,54327026,328575,214,165.34,2020-01-01,2024-12-31,derived
Extended Stay America,54066219,100519,60,537.87,2020-01-01,2024-12-31,derived
Carrabba's Italian Grill,54032308,33892,19,1594.25,2020-01-01,2024-12-31,derived
Homewood Suites by Hilton,53906920,102709,58,524.85,2020-01-01,2024-12-31,derived
Papa Murphy's,53765188,164930,99,325.99,2020-01-01,2024-12-31,derived
Wetzel's Pretzels,53621900,65018,52,824.72,2020-01-01,2024-12-31,derived
Cinemark Theatres,53224521,48475,29,1097.98,2020-01-01,2024-12-31,derived
Dave’s Hot Chicken,53066185,24107,32,2201.28,2020-01-01,2024-12-31,derived
Bob Evans,53057202,29110,16,1822.65,2020-01-01,2024-12-31,derived
Navy Exchange,52747806,25976,15,2030.64,2020-01-01,2024-12-31,derived
LA Fitness,52324203,151314,93,345.8,2020-01-01,2024-12-31,derived
Peet's Coffee and Tea,51818740,73324,42,706.71,2020-01-01,2024-12-31,derived
Planet Smoothie,51795644,51735,37,1001.17,2020-01-01,2024-12-31,derived
Ono Hawaiian BBQ,51782670,48782,29,1061.51,2020-01-01,2024-12-31,derived
Turkey Hill,51586138,87479,49,589.7,2020-01-01,2024-12-31,derived
