BRAND,TOTAL_VISITS
Country Hearth Inn,427731
Country Inn & Suites By Radisson,11495258
Country Inn & Suites by Radisson Americas,16072020
Country Mart,2014617
Country Store,107734
Country Waffles,220501
CountryMax Stores,4693288
County Market,5080950
County Mart Grocery,1697635
County National Bank,678714
Courtyard by Marriott,252266218
Covington Credit,1262253
Cowboy Chicken,7718193
Cox Communications,2633912
Coyote Ugly Saloon,1529557
Cracker Barrel,158225516
Crane Worldwide Logistics,174988
Crash Champions,2485508
Crate and Barrel,12665413
Crate and Barrel Warehouse & Distribution,95852
Crawford & Company,518125
Crayolia Experience,1602216
Crazy Bowls & Wraps,6148145
Crazy Mocha,1068562
Crazy Shirts,412307
Cream,650220
Creamistry,1185784
Credit Suisse,1339298
Credo Beauty,425020
Crema Gourmet Espresso Bar,1196033
Crepe Delicious,2205529
Crescent Electric Supply,115048
Cricket Wireless,65852793
Cristina's Fine Mexican Restaurant,237380
Crocs,16336691
Cronies,12560
Crosby Markets,5325314
Crosby's,4151940
CrossFit,128916983
Crossroads Trading,8758935
Crown Trophy,1791694
Crown Wine & Spirits,177215
Crowne Plaza Hotels and Resorts,24853004
Cruisin Coffee,6957936
Crumbl Cookies,20479201
Crunch,35712181
Crye-Leike,151291
Crystal Tractor,289735
Cubavera,109928
CubeSmart,31865875
Culebra Meat Market,195392
Culichi Town,788605
Culver's,126378823
Cumberland Farms,268323571
Cups Frozen Yogurt,1117125
Curacao,1988259
Curio Collection,757662
Currito,2822423
Curry Up Now,860980
Curtis Lumber Co,749507
Curves,3613239
Custom Comfort Mattress,756064
Custom Ink,194722
Cutter Point Coffee,2321168
Cuyana,335762
Cycle Gear,13980668
CycleBar,5462059
D'Agostino,4706144
D'Angelo Sandwich Shops,6394754
D1 Sports Training,850518
DAISO,61293639
DB Schenker,1404546
DCH Auto Group,963214
DDS Dentures + Implant Solutions,230194
DEFY Trampoline Park,1756237
DHL Distribution,2142570
DHL Express,853773
DHL Global Forwarding Office,81358
DIESEL,2282409
DIY Home Center,2510556
DK,4406192
DKNY,3091298
DOT Foods,67805
DSV,266623
DSW (Designer Shoe Warehouse),50395786
DTLR,5996746
DVF (Diane von Furstenberg),15063
DXP Enterprises,5988171
DaBella,95716
Daily Grill,540276
Daily's,3191893
Dairy Queen,1240889102
Dakota Watch Company,1295711
Dallas BBQ,1089762
Daltile,453482
DanDan,2029734
Danaher Manufacturing,362962
Dandy Mini Marts,9314487
Daniel's Boiler,398087
Daniel's Jewelers,1897447
Danner Boots,789
Danny's Restaurant,2926812
Daphne's California Greek,459236
Dara's Corner Market,1021594
Dashing Diva,44662
Dave & Buster's,37748851
Dave’s Hot Chicken,53066185
Davi Nails,5676565
David Yurman,2923602
David's Bridal,3675863
Davio's Northern Italian Steakhouse,1613215
Daylight Donuts,5013845
Days Inn,58320403
De Beers Jewelry,102025
DeCicco and Sons,2621894
DeVons Jewelers,948766
DeVore & Johnson,121325
Dead River Company,105995
Define Body & Mind,250589
Deka Lash,1754417
Del Frisco's Double Eagle Steakhouse,3048162
Del Frisco's Grille,740745
Del Taco,194528819
Del Toro Insurance,409571
Del's Lemonade,804297
DelSol,1380346
Deli Delicious,4914191
Delia's Specializing in Tamales,3543886
Deloitte,616943
Delta Hotels,6864533
Delta Sonic,801965
Dennis Uniform,914550
Denny's,341752127
Dental Dreams,316425
Dental365,1079949
DentalWorks,642798
Dentistry For Children,103169
Denver Mattress,3235985
Derrel's Mini Storage Inc,1240012
Deseret Industries (D.I.),2016610
Desert Sun Tanning Salons,1223609
Design Hotels,331273
Design Within Reach (DWR),3160446
Desigual,10152
Destination XL,5569344
Destination by Hyatt,5750873
Detail Garage,5952856
Deutsche Bank,578651
Dewey's Pizza,2657743
Di Bruno Bros,1786281
DiBella's Subs,13575168
Diamonds Direct,195569
Diced,307220
Dick's Drive-in,232889
"Dick's Homecare, Inc.",14558
Dick's Sporting Goods,276707374
Dickey's Barbecue Pit,25080656
Dicks Wings and Grill,1056280
Dierbergs Markets,30197977
Dig Inn,3386852
Digital Realty,2072959
Dill Dinker Pickleball,4541
Dillard's,167378945
Dillons Supermarkets,38158043
Dim Sum House by Jane G's,1990778
Dime Community Bank,2838095
Din Tai Fung,3601792
Dior,1987863
Dippin' Dots,4603961
Diptyque Paris,383731
Direct General,895866
Direct Tools Factory Outlet,2710695
Dirt Cheap,8564388
Dirt Dog,497838
Discount Car & Truck Rentals,3878766
Discount Tire,25193630
Discount Tire Centers,235504
Discover Vision,146259
Disney Store,4135803
Dissh,653798
District Taco,66311
Ditch Witch,61508
Ditka's,208442
Divine's Convenience & Auto Repair Shops,321639
Dmart Express,6126652
Do It Best,257201211
Dobbs Tire & Auto Centers,358238
Doc B's Restaurant + Bar,12394861
Doc Popcorn,4604283
Dockers,2139003
Dodge's Southern Style,131516
Dog Haus,4524205
Doggie Style,6006310
Dogtopia,675113
DolEx,1958072
Dolce & Gabbana,637951
Dollar Bank,1025425
Dollar General,1354542100
Dollar General Distribution,546573
Dollar Rent A Car,3046620
Dollar Tree,703402610
Dollar Tree Distribution,96799
Dolphin Carpet & Tile,53275
Domestic Uniform,113203
Domino's Pizza,2197904505
Domoishi,595224
Don Cuco,2964467
Don Juan Mex Grill,1508402
Don Roberto Jewelers,1987639
Don's and Ben's,814263
Donatos Pizza,3754399
Donelan's Supermarkets,69037
Doner Kebab,625326
Dooney and Bourke,586962
Dos Toros Taqueria,27321
DoubleDave's Pizzaworks,8127766
DoubleTree by Hilton,75303441
Dough Zone Dumpling House,823769
Dover Saddlery,990382
Dr G's Weight Loss,165698
Dr Pilates,201112
Dr. Dental,248125
Dr. Mark Lynn & Associates,119310
Dr. Martens,4277738
Draeger Supermarkets,64964
Draper James,79245
DriveTime,610175
Driver's Edge,1911984
Drnk Coffee + Tea,1836734
Drug Emporium and Vitamins Plus,49615
Drummond Community Bank,917372
Drury Hotels,2466634
Dry Goods,145653
Drybar,6735881
Dsquared2,2910959
"DuPont de Nemours, Inc.",1266339
Duane Reade by Walgreens,31435457
Duck Donuts,3464062
Duffy's Sports Grill,1307261
Duke's,200450
Duke's Chowder House,803405
Duluth Trading,2763062
Dunham's Sports,19335869
Dunkin',3453273039
Dunn Edwards,3164014
Dunn Lumber,853296
Dunn Tire,2534300
Dustin's Bar-B-Q,2059239
Dutch Bros Coffee,136992266
Duty Free Americas,1496681
Dylan's Candy Bar,9179379
Dynamic Fitness,1610933
Dynamite,391000
Dyson,85659
E-Z Mart,9139499
ECCO,4563225
EESCO,17950
EMC Seafood and Raw Bar,151025
EP Fitness,958059
EQ3,181637
ERA Real Estate,985162
ESCADA,117917
ETRO,108875
EVEN Hotels,592014
EXOS,1089975
EY,186237
EZPAWN,21915449
Eagle Stop,1864908
Eagle Transmission,240426
EagleRider,903339
Earl of Sandwich,3644638
Earls Restaurants,1489723
Earth Fare,15664771
Earth Origins Market,862990
EarthWise Pet Supply,3193274
Earthbar,396038
Earthbound Trading Co.,5892542
East Boston Savings Bank,3938516
East Coast Metal Distributors,28495
East Coast Salon Services,3153
East Coast Warehouse & Distribution,25194
East of Chicago,1018471
EastWest Bank,3066471
Eastern Bank,4439866
Eastern Dental,219212
Eastern Mountain Sports,642448
Eastman Chemical Company,1149859
Easy Breezy,1274044
Eat the Frog Fitness,514995
Eat'n Park,51165162
EatZi's Market & Bakery,1673458
Eataly,4366733
Eaton Apothecary,258457
Eblens,905241
Ecolab Inc.,4404241
Econo Lodge,22251811
Econo Lube N' Tune,767739
Eddie Bauer,5685367
Eddie V's Prime Seafood,7692283
Edible Arrangements,14907442
Edition Hotels,5205849
Edward Jones,19902905
Edwards Theatres,8799812
Egg Harbor Cafe,5355497
Eggs 'n' Things,249908
Eggs Up Grill,6516142
Ehrlich Pest Control,75534
Eighteen Eight Fine Mens Salons,406442
Eileen Fisher,1022987
Eileen's Cookies,23017
Einstein Brothers,118233043
El Borrego De Oro,229350
El Chico,3383712
El Compadre,2659059
El Dorado Furniture,761496
El Fenix,3562453
El Gallogiro,2139689
El Gringo,141015
El Pato Fresh Mexican Food,835312
El Pescador,1378214
El Pollo Inka,1232759
El Pollo Loco,220121566
El Pollo Regio,9971251
El Rancho Supermercado,11368998
El Río Grande,8558160
El Super,30341464
El Tiempo Cantina,6169009
El Torito,4291656
Elegant Beauty Supplies,1143033
Element Solutions Inc,393473
Element by Westin,3366303
Elements Therapeutic Massage,503491
Elephant Car Wash,522485
Elevation Burger,9614765
Elie Tahari,80212
Elizabeth Grady,267818
Ellianos Coffee,2816178
Elmer's Restaurants,168937
Emack & Bolio's Ice Cream,1230471
Embassy Suites Hotels,60113054
Emerald City Smoothie,6503887
Empire Eatery,1304523
Empire Wine,899852
Emporio Armani,3311632
Enmarket,69215925
Enterprise Bank & Trust,1256838
Enterprise Bank and Trust Company,62636
Enterprise Car Sales,678039
Enterprise Rent-A-Car,21606665
Enterprise Truck Rental,2475886
EoS Fitness,8292966
Epic Wings N' Things,2165970
Epicierie Boulud,3264860
Equinix,3041309
Equinox Fitness Clubs,12971746
Equipment Share,164976
Erewhon Natural Foods,8027629
Erie Insurance,195717
Erik's DeliCafé,2885074
Ermenegildo Zegna,1384256
Escape Outdoors,402797
Eskimo Hut,745571
Esporta Fitness,1881945
Ethan Allen,8297971
Ethel M Chocolate,4544773
Eureka!,3904034
Euronet Worldwide,184981
Europcar,112923
European Wax Center (EWC),42453191
Ever Bowl,1983213
Evereve,2535990
Everlane,4145842
Everything but Water,828277
Evo,78103
Ewing,2889446
Exhale,250973
Expeditors International of Washington,354955
Experis,76629
Express,67661796
Express Employment Professionals,362437
Express Factory Outlet,7382564
Express Mart Store,576867
Express Oil Change,9437111
Express Parking,7122055
Express Pipe & Supply,526045
Express Stores,1399977
Expressions Home Gallery,70448
Expressions Shoes,632199
Extended Stay America,54066219
Extra Space Storage,69105880
Extreme Pizza,1216456
Exxon Mobil,790206648
Exxpress Mart,822708
Eye Care Associates of Kentucky,107672
Eye Care for Animals,120810
Eye Level,5031057
Eyeglass World,1875448
Eyemart Express,1429635
Ezells Famous Chicken,2376736
F.L. Roberts,525380
F.W. Webb Company,353786
F45 Training,32198994
FFO Home,134305
FIT20,118671
FMC Corporation,30729
FRAME,187936
FW Logistics,56280
FYE,55158359
Fabiana Filippi,38770
Fabletics,2883472
Facelogic Spa,114389
Factory Connection,2152887
Factory Donuts,670225
Factory Mattress Sales,3310190
Factory Motor Parts,2666554
Fademasters,143765
Faherty Brand,1857555
Fairfield Inn & Suites by Marriott,166145227
Fairmont Hotels & Resorts,6855896
Fairway Market,4006772
Fajita Pete's,788226
Falconeri,399518
Fallas,6262793
Familia Dental,144983
Family Dollar Stores,669727667
Family Farm & Home,543720
Family Food Stores,1783328
Family Orthodontics,453767
Family Thrift Center,4744232
Family Video,267422
Famous Dave's,6050144
Famous Footwear,148828322
Famous Hair,505453
Famous Wok,1822040
Famsa Furniture,4236188
Fannie May,7420
Fantastic Sams,13287951
Farm & Home Supply,213985
Farm Bureau Insurance,693639
Farm Stores,15801567
Farm Supply Company,217716
Farmer Boys,26862817
Farmers & Merchants Bank,729287
Farmers Bank & Trust Company,269981
Farmers Home Furniture,5915477
Farmers Insurance Group,34533485
Farmers and Merchants Trust Company of Chambersburg,287858
Farrell’s eXtreme Bodyshaping,109707
Fast Auto and Payday Loans,363348
Fast Eddie's Billiards,952575
Fast Market,597999
Fast-Fix,843631
Fast5xpress Car Wash,649213
FastFrame,2277328
FastLane,2686980
FastLane Car Wash,63047
Fastenal,71340307
Fastrac,2876690
Fastrip,12370506
Fat Tuesday,465562
FatFace,690500
Fatburger,7504414
Fazoli's,27089896
FedEx,23080284
FedEx Freight,893046
FedEx Logistics,371633
Feel Rite Fresh Market,124775
Fendi,1445931
Ferguson,4065334
Ferragamo,1279485
Ferrellgas,1505810
Fidelity,403900
Fiesta Foods,13070766
Fiesta Insurance,1173131
Fiesta Mart,30958992
Fifth Third Bank,9173201
Fig and Olive,27559
FiiZ Drinks,1372037
Filson,291860
Finance of America Mortgage,896533
Fine Fare Supermarkets,13511637
Fine Wine and Good Spirits,15182252
Finish Line,95239885
FinishMaster,8232069
Finley's Barber Shop,1543071
Firebirds Wood Fired Grill,2676560
Firehouse Subs,350103153
Firestone Complete Auto Care,44369887
First American Financial,1069749
First Bank,1736986
First Bank NJ,458875
First Cash Pawn,3551479
First Citizens Bancshares,4408851
First Commercial Bank USA,260339
First Commonwealth Bank,4109864
First Convenience Bank (FCB),5986694
First Financial,8505
First Foundation Bank,796288
First Horizon Bank,3247559
First Interstate Bank,431577
First National Bank (FNB),4743275
First National Bank of Griffin,69238
First Onsite,560994
First Republic Bank,2303332
First United Bank,1922830
First United Bank West Texas,650769
First Volunteer Bank,231114
First Watch Restaurants,156936986
FirstLight,666570
FirstTrust Bank,187206
Fish City Grill,8601577
Fish Grill,92554
Fisher Auto Parts,1755406
Fit Body Boot Camp,6475028
Fit Republic,575574
Fit Republic USA,358963
Fitness 19,5648943
Fitness Connection,2648665
Fitness Factory Health Club,1820266
Fitness Together,3237914
Fitness Unlimited,92814
Fitwize 4 Kids,297174
Five Below,259272017
Five Guys,497735312
Fix Auto Worldwide,3719257
Fjall Raven,221109
Flagship Premium Cinemas,859159
Flagstar Bank,4101927
Flanigan's,14941688
Flash Car Wash,3500
Flash Foods,11720665
Flash Market,357004
Fleet Feet Sports,13951975
FleetPride,5490178
Fleming’s Prime Steakhouse and Wine Bar,2371060
Flexform,344822
Flight Adventure Park,39806
Flip Flop Shops,3922012
Flipper's Pizzeria,1323335
Flippin Pizza,1509916
Flix Brewhouse,4297588
Floor and Decor,2677652
Flooring America,1188540
Floors To Go,493960
Florida Pest Control,92850
Florida Tile,152366
Flower Child,3859921
Floyd's 99 Barbershop,1565526
Fly High Adventure Parks,210805
Flyers Energy,1606238
Flying Biscuit Cafe,1899382
Flynn's Tire,757117
Flywheel,111382
Fogo de Chão,3864972
Food 4 Less,223757280
Food Bazaar Supermarket,22861507
Food City,4859937
Food Depot,51485841
Food Dynasty,5967231
Food Fair,3262273
Food Giant,1539302
Food King Cost Plus Food,3423574
Food Lion,51428115
Food Town,16121731
Food Universe Marketplace,19334721
Food World,3720586
FoodMaxx Supermarkets,32256980
Foodarama,6309745
Foodland,4044937
Foods Co.,11928975
Foodtown,84491821
Foot Locker,92271113
Foot Solutions,2182509
Footaction,8984532
For Eyes Optical,705258
Ford Motor Company,18649470
Ford's Garage,19019040
Forever 21,103341314
Forman Mills,3381959
Formula Fig,207657
Fortline Waterworks,447944
Fortunoff Backyard Store,831857
Fossil,5554017
Fosters Freeze,3491556
Foundation Building Materials (FBM),1673812
Four Brothers Pizza Inn,2007993
Four Points By Sheraton,23657024
Four Seasons Hotels and Resorts,5822658
Four n 20,118640
Fox & Hound,1860949
Fox Pest Control,24002
Fox Rent A Car,589479
Fox's Pizza Den,5511483
Foxworth-Galbraith Lumber Company,101970
Fragrance Outlet,3842191
Frances Valentine,421247
Francesca's,28507548
Frank Pepe Pizzeria,1770487
Franz Bakery,236703
Fred Astaire Dance Studios,5535108
Fred Meyer,51217184
Fred Meyer Fuel,1892509
Fred Meyer Jewelers,1290926
Fred Meyer Pharmacy,1268570
Freddy's Frozen Custard,148225450
Free People,15578759
Freebird,497368
Freebirds World Burrito,2296144
Freedom Boat Club,1183139
Freedom Fitness,1177604
Freedom Oil,592095
Freehand,2135214
Freeway Insurance Services,5338393
Freightliner Trucks,3505966
Fremont Bank,427983
Frenchys Chicken,842565
Fresco y Más,49042893
Fresh,683220
Fresh Brothers Pizza,4880361
Fresh Healthy Cafe,38399
Fresh Thyme,15988619
Fresh to Order,1272657
Fresh&co.,465761
FreshPoint,292505
Freshii,2844660
Freshpet,167405
Friar Tux Shop,445152
Frida Mexican Cuisine,737973
Fridays,67849178
Friendly Express,3617590
Friendly's,27373881
Frost Bank,4637396
Frost Gelato,2096453
Frutta Bowls,2118804
Frye,10938
Fuddruckers,13121555
Fuego,806491
Fuku,340458
Fully Promoted,603202
Fulton Bank,4035625
Furla,394510
Furniture Distribution Center,329567
Furniture Row,4415661
Furniture World,224026
Furniture with a Solu.,1081820
Fusion Fitness,770843
Fuzzy's Taco,46945577
G By GUESS,4305325
G&M,1999797
G&W Foods,6084637
G-Star RAW,753551
G.H. Bass and Co,1306823
GALLS,230135
GARAGE,7196673
GATE,46323734
GCR Tire Centers,197049
GIANT Food Stores,198521366
GIANT Pharmacy,23755465
GIVENCHY,717694
GMC (General Motors Company),150840
GNC (General Nutrition Centers),48371415
GO Car Wash,4272084
GTS Interior Supply,59801
GUESS,2558223
GUESS Factory,12072506
Gabe's,11101909
Gabriel's Liquor,199917
Gadget MD,471905
Gala Fresh Farms,5849523
Galaxy Theatres,4677094
Galvanize,110259
Gambino's Pizza,1951210
Game X Change,1241341
GameStop,156395919
Games Workshop,777173
Gander Outdoors,811460
Ganni,1637926
Gap,78826161
Garbanzo Fresh Mediterranean,207392
Garia,1652242
Gas & Shop,710524
Gas N Go,1744155
Gators Dockside,6262071
Gatti's Pizza,3534064
Gearhead Outfitters,1349268
Gebrüder Weiss,26065
Geico,2235492
Gelson's Markets,7662364
Gemaire,808703
Gen Korean BBQ House,6161321
Gene Juarez Salons & Spas,460390
Gene's Heartland Foods,2748156
Genesis Auto,276787
Genesis Health Clubs,4177885
Genghis Grill,15767841
Gentle Dental,615311
Gentle Dental of New England,898428
Geodis,1931628
George's Greek Cafe,440711
Georgia Farm Bureau Auto Insurance,521216
Georgia Theatre Company,1188175
Gerber Collision,2681300
Gerbes Super Markets,7215052
Gerrity's Supermarket,29079074
Gertrude Hawk Chocolates,3646894
Get Air,5719302
Get in Shape for Women,838475
GetGo,30556623
Getaway House,53165
Ghirardelli Chocolate,411978
Giant Eagle,79651906
Giant Fitness,2219489
Giant Food Pharmacy,653125
Giardino Gourmet Salads,2284461
Gigi's Cupcakes,1550298
Gino's East,236453
Giordano's,1017099
Giorgio Armani,1374302
Giunta's Meat Farms,14953555
Glass America,4704288
Glass Doctor,417311
Glens Falls National Bank and Trust,501323
Glik's,473397
Glo Sun Spa,333489
Global Credit Union,249935
Global Self Storage,259718
Gloria Jean's Gourmet Coffees,3786872
Gloria's Latin Cuisine,1373840
Glossier,1529797
Glowbar,228917
Go Loco Street Tacos & Burritos,8648947
Go Minis,677435
Go Store It,1374948
Go! Calendars Toys & Games,11225289
Go! Go! Curry!,1219816
GoWireless,7268414
Godfather's Pizza,9935706
Godiva,976250
Goin Postal,742631
"Going, Going, Gone!",7552731
Gold's Gym,41185595
Golden 1 Credit Union,1138685
Golden Chick,64254291
Golden China,4206129
Golden Corral,127025562
Golden Goose,3946640
Golden Krust Caribbean Bakery and Grill,13666150
Golden Nozzle Car Wash,567450
Golden Pantry,627961
Golden Star Theaters,231767
Goldfish Swim School,845895
Goldilocks,277809
Goldman Sachs,196442
Golf Galaxy,276872
GolfTec,6165496
Golfers' Warehouse,367550
Golfland,1091333
Gondolier Italian Restaurant & Pizza,1047860
Gong Cha,11667650
Goo-Goo Express Wash,777911
Good Neighbor Pharmacy,100640182
Good Vibes,1749677
GoodVets,213542
Goodcents Deli Fresh Subs,10655725
Goodrich Quality Theaters,296296
Goodwill Industries,358145166
Goody Goody Liquor,2911410
Goodyear Auto Service Centers,15782710
Goodyear Commercial Tire & Service Center,1382144
Goop,395423
Goorin Bros.,882388
Goosehead Insurance,1779726
Gordmans,1530811
Gordon Biersch Restaurant & Brewery,2259426
Gordon Food Service Distribution,220051
Gordon Food Service Store,27559467
Grabbagreen,292765
Gracie Barra,9907390
Graduate Hotels,166348
Grady's BBQ,274498
Graeter's Ice Cream,1744966
Grain and Berry,13013352
Grand Hyatt,175772
Grand Lux Cafe,1039792
Grand Union,4061953
Grandys,2926651
Granite City Electric,91030
Granite Transformations,797267
Graphic Packaging Holding Company,2179024
Grater Grilled Cheese,521297
Graybar,617884
Graze Craze,676999
Graziano's Restaurants,982772
Grease Monkey Auto,5776803
Great American Cookies,16224927
Great Clips,137088318
Great Expressions,3165157
Great Harvest Bread Co.,1175076
Great Khans Mongolian Grill,5116771
Great Maple,303214
Great Plains National Bank,34989
Great Southern Bank,1537763
Great Valu Markets,1348001
Great Western Bank,88292
Great Wolf Lodge,2482634
Great Wraps Grill,7016365
Greatwall Supermarket (GW),5950548
Green Burrito,16409467
Green Cactus Grill,1363405
Green Leaf's & Bananas,934496
Green's Natural Foods,2248289
Greenberg Dental & Orthodontic,936405
Greenwise Market,2221270
Greer's,7772790
Gregory's Coffee,1465365
Gretchen Scott,224720
Greyhound,2691840
Grill City,582020
Grillsmith,710219
Grimaldi's,9158532
Gringo's Mexican Kitchen,5423873
Gristedes,15040061
Grocery Outlet,129424120
Grocery Outlet Distribution,467893
Grotto Pizza,57139
Grotto Ristorante,153765
Grub,3591372
Guaranty Bank,485214
Gucci,9879307
Gudrun Sjödén,640134
Guisados Tacos,642428
Guiseppe Zanotti Design,7154
Guitar Center,8474853
Gulf Oil,133486892
Gumby's Pizza & Wings,3294409
Gus's Fried Chicken,8644667
Guthrie’s,5594206
Gym Source,92398
Gyu-Kaku,8285473
H Mart,94081751
H&E Equipment Services,86856
H&M,115009377
H&R Block,32627295
H&S Energy,35334174
H-E-B,431370178
H-E-B Pharmacy,10974511
H.B. Fuller Company,660316
HD Supply,13292605
HNT Chicken,732966
HOUNDS TOWN,325818
HSBC Bank,714244
HSN Outlet,4203766
HTeaO,40962285
HUB International,1638521
Haagen Dazs,50587013
Habitat for Humanity,11279079
Habitat for Humanity ReStore,27394470
Haffner's Oil,1542197
Haggar,305989
Haggen,14044630
Haggen Pharmacy,4291377
Hair Cuttery,14050877
Hairmasters,2442294
Half Price Books,13540764
Hallmark Cards,77068739
Hammer & Nails,1244106
Hampton,224061828
Hancock Whitney Bank,1084215
Hancock and Whitney Bank,1182704
Hand and Stone,14199228
Handel's Home Made Ice Cream,4432255
Handle With Care Packaging Store,10782
Handy Food Stores,15241111
Handy Pantry,2015529
Hanesbrands,3425466
Hanger Prosthetics & Orthotics,426667
Hanmi Bank,1124778
Hanna Andersson,93589
Hannaford Pharmacy,1825047
Hannaford Supermarkets,97854431
Hannoush Jewelers,1079978
Happy Feet,247190
Happy Lemon,5826781
Happy Nails & Spa,485130
Happy State Bank,1503405
Harbor Freight Tools,351979263
HarborOne Bank,1473320
Hard Rock Cafe,8232058
Hard Rock Hotel,22498652
Hardee's,219533587
Harkins Theatres,4991278
Harley Davidson,14999699
Harmon Face Values,5443286
Harold's Chicken,2442862
Harps Food Store,12670649
Harris Teeter Pharmacy,644555
Harry Winston,169274
Hartz Chicken Buffet,2609411
Harvest Foods,5998359
Harvest Seasonal Grill & Wine Bar,2146230
Harvey's Supermarket Pharmacy,3248105
Harveys Supermarket,13907669
Hastens,328066
Hat Club,257596
Hat Creek Burger Company,22015975
Hattie B's Hot Chicken,64888
Havaianas,372613
Havertys,12525770
Hawaiian Bros Island Grill,10562661
Hawthorn Suites by Wyndham,4886504
Hays Store,3074585
Health Mart,210988368
Healthfirst,150060
Healthtrax Fitness & Wellness,129803
Healthworks Fitness,81332
Hearing Life,2707978
Heartland Bank Ohio,10124
Heffernan Insurance,14844
Heights Finance,142234
Hellmann Worldwide Logistics,239130
Hello Bistro,6268962
Helly Hansen,196503
Helzberg Diamonds,4362091
Hen House,3721440
Hendrick Service Center,3491625
Herc Rentals,25831
Hereford House,226825
Heritage Bank of Commerce,110286
Heritage's Dairy Stores,2650036
Hermès,126517
Hershey Co Manufacturing,28179
Hertz,10763005
Hertz Car Sales,308117
Hey Dude,4885046
Heyday,2141819
Hibachi-San,5501719
Hibbett Sports,36117560
Hide Away Storage,192428
Hiep Thai Food Store,1714861
High's,2868925
Hillstone Restaurant Group,1291804
Hilton Garden Inn,109764036
Hilton Grand Vacations,1220305
Hilton International,69117287
Hinoya Curry,1282558
HipCityVeg,2035143
Hitachi Transport System,126384
Hitchcock's Market,1690729
Hobbs,395898
Hobby Lobby Stores,61937707
HobbyTown USA,1797483
Hobee's Restaurant,915571
Hoka One One,815421
Hokkaido Ramen Santouka,1344638
Hokulia,11410912
Holiday Hair,8982955
Holiday Inn,113642725
Holiday Inn Club Vacations,797476
Holiday Inn Express,33846071
Holiday Inn Resort,2370433
Holiday Market,18048229
Holiday Quality Foods,19205272
Holiday Station,3524646
Holler & Dash Biscuit House,40174
Hollister,76428362
Hollywood Feed,13011829
Home Centric,2580010
Home Depot Warehouse & Distribution Centers,1853739
Home Outlet,8558872
Home Zone Furniture,4334715
Home2 Suites,34944932
HomeGoods,168830775
HomeSense,4897408
HomeSmart,487575
HomeTeam Pest Defense,30696
HomeTown Buffet,1342964
HomeTowne Studios,1191716
Homegrown Sustainable Sandwiches,2711396
Homewood Suites by Hilton,53906920
Honda,25337381
HoneStreet Bank,932800
Honest 1 Auto Care,168261
Honey Birdette US Inc,370894
Honey Dew Donuts,1009140
Honey Farms,339411
Honeymee,1228300
Hoods Discount Home Center,2126681
Hooters,55057138
Hopdoddy Burger Bar,8237806
Hops 'n Drops,4960564
Horizon Distributors,1065335
Hoss's Steak and Sea,5590625
Hostelling International,424502
Hot 'n Juicy Crawfish,379678
Hot Dog on a Stick,4903017
Hot Head Burritos,3814625
Hot Topic,43686495
Hotel Indigo,11549784
Hotel RL,107631
Hotshots Sports Bar & Grill,1853733
Houlihan's Restaurants,8653221
House of Blues,1152243
House of Jerky,554898
Houston's,2774280
Howard Johnson (HoJo),5055480
Howards Appliances,860422
HuHot Mongolian Grill,1058858
Hucks,726562
Huddle House,16119054
Hudson News,22113962
Hudson's Furniture,5462876
Huey Magoo's Chicken Tenders,3179117
Hugo Boss,11691777
Hui Lau Shan,757310
Hull's Environmental Services,25870
Human Bean,19200053
Hungry Howie's Pizza & Subs,102509786
Hunt Brothers Pizza,268027809
Huntington Learning Centers,4977178
Huntington National Bank ATM,145111
Hurley,855303
Hurricane Grill & Wings,6106924
Hurts Donut,5021898
Husqvarna Motorcycles,3226511
Hustler Hollywood,1798709
Hy-Vee,43895419
Hy-Vee Fast & Fresh,8128699
Hy-Vee Gas Station,1954355
Hy-Vee Pharmacy,2105097
Hyatt Centric,533322
Hyatt Hotels & Resorts,2413159
Hyatt House,17747613
Hyatt Place,9158267
Hyatt Regency,1345905
Hyatt Residence Club,1205191
Hyundai Motor,5346338
I Love Juice Bar,1960412
I Love Pilates,192353
IAA,1524197
IBC Bank,7159691
IBERIA BANK,966154
ICBC,657243
IGA,100514931
IHOP,523815603
IKEA,29074803
IL Fornaio,2328109
IM=X Pilates,1006299
IRO,1140343
IV Nutrition,130128
IWC Schaffhausen,154657
IZOD,1003862
Iberostar Hotels,51571
IceBerg Drive Inn,11053959
Icing,5322219
Idaho Central Credit Union,259136
Ideal Image,755790
IdentoGO,4523430
Ike's Love & Sandwiches,4874582
Illustrated Properties,102756
Image Studios 360,697600
Imo's Pizza,12776854
Impark,187450027
In-N-Out Burger,227554309
In-Shape Family Fitness,10425894
InMotion,26316333
InTown Suites,5052186
Inchin's Bamboo Garden,567897
Independent Bank Texas,1128103
India Bazaar,3408648
Indian Motorcycle,2037626
Indique Virgin Hair Extensions,178550
Indochino,956495
Industrial Shoe,2182917
Industrious Office,3085478
Infineon,33541
Infiniti,2411388
Ingles Markets,48664869
Ingles Pharmacy,1375114
Inglot,1254388
Insomnia Cookies,2907392
Institution for Saving,644023
Insty-Prints,5711
Insure One Insurance Agency,250163
Intelligentsia Coffee,795680
InterContinental Hotels & Resorts,10023488
Interceramic,51804
Interlink Supply,314749
International Flavors & Fragrances,2201824
International Paper Company,443548
International Trucks,5497249
Interstate Batteries,2207358
Intimissimi,868416
Investors Bank,2257550
Invicta Store,267297
Ippudo,277900
Iron Hill Brewery and Restaurant,6004081
Iron Mountain,10185697
Irontribe Fitness,239747
